geo_name,smoking_2015,smoking_2016,id,state,poverty_2015,poverty_2016
"Hettinger County, ND",0.083,0.17300000000000001,38041,ND,0.08824725498169987,0.08346774193548387
"Kidder County, ND",0.15,0.166,38043,ND,0.07619439868204284,0.07027697395618024
"LaMoure County, ND",0.266,0.16,38045,ND,0.09534478466517302,0.09592805395953036
"Logan County, ND",0.162,0.156,38047,ND,0.08083511777301927,0.06985491671144546
"McHenry County, ND",0.18100000000000002,0.172,38049,ND,0.12884078212290503,0.1001202129486519
"McIntosh County, ND",0.18600000000000003,0.153,38051,ND,0.11731422104866088,0.09649122807017543
"McKenzie County, ND",0.256,0.21100000000000002,38053,ND,0.1373413073129787,0.12809411764705883
"McLean County, ND",0.188,0.166,38055,ND,0.11626898047722342,0.09849535801942162
"Mercer County, ND",0.151,0.175,38057,ND,0.0817892127935796,0.07458823529411765
"Morton County, ND",0.18100000000000002,0.19399999999999998,38059,ND,0.07987613920264612,0.08676050521388994
"Mountrail County, ND",0.237,0.21600000000000003,38061,ND,0.13457738748627882,0.1175115207373272
"Nelson County, ND",0.17800000000000002,0.161,38063,ND,0.0840080971659919,0.08587915818058384
"Oliver County, ND",,0.16,38065,ND,0.07675070028011205,0.04107244723331432
"Pembina County, ND",0.174,0.162,38067,ND,0.06447032093155354,0.05986728216964801
"Pierce County, ND",0.185,0.171,38069,ND,0.1648430066603235,0.18268542809444313
"Ramsey County, ND",0.237,0.187,38071,ND,0.100884316910305,0.10952123830093592
"Ransom County, ND",0.136,0.177,38073,ND,0.09271523178807947,0.09183481048463134
"Renville County, ND",0.242,0.156,38075,ND,0.0742218675179569,0.06722354813046937
"Richland County, ND",0.187,0.168,38077,ND,0.10766086497890295,0.09918720676666887
"Rolette County, ND",0.358,0.375,38079,ND,0.35528998242530757,0.3162715893993427
"Sargent County, ND",0.166,0.154,38081,ND,0.05814562598218963,0.057853403141361254
"Sheridan County, ND",0.149,0.158,38083,ND,0.156320119670905,0.16930835734870317
"Sioux County, ND",0.44299999999999995,0.4,38085,ND,0.3571595969064917,0.3795250172930597
"Slope County, ND",,0.16,38087,ND,0.10104011887072809,0.10075187969924812
"Stark County, ND",0.191,0.171,38089,ND,0.0669104991394148,0.06755313651865376
"Steele County, ND",0.121,0.153,38091,ND,0.07348406988694758,0.061466942148760334
"Stutsman County, ND",0.172,0.16699999999999998,38093,ND,0.1091859749846217,0.10799180327868853
"Towner County, ND",0.139,0.159,38095,ND,0.1401330376940133,0.14057649667405764
"Traill County, ND",0.132,0.16699999999999998,38097,ND,0.10479666319082377,0.0832897489539749
"Walsh County, ND",0.156,0.154,38099,ND,0.10361535594483787,0.10573426573426574
"Ward County, ND",0.17800000000000002,0.20800000000000002,38101,ND,0.07531079674199277,0.07345031699768637
"Wells County, ND",0.154,0.159,38103,ND,0.05486768633163389,0.05220785557453037
"Williams County, ND",0.3,0.207,38105,ND,0.10086565096952908,0.0981458110863023
"Adams County, OH",0.251,0.23,39001,OH,0.2461981981981982,0.2447843222330694
"Allen County, OH",0.22899999999999998,0.212,39003,OH,0.17466374787993533,0.1611791464298839
"Ashland County, OH",0.226,0.201,39005,OH,0.14858657243816253,0.154016501068062
"Ashtabula County, OH",0.295,0.221,39007,OH,0.20055379746835442,0.1960343203934289
"Athens County, OH",0.303,0.22899999999999998,39009,OH,0.329936950120138,0.31247290853922843
"Auglaize County, OH",0.155,0.195,39011,OH,0.08878163260787743,0.08789823008849558
